latency,throughput,packet_loss,jitter,server_response_time,drift
0.313,1.05,0,0.1,0.763,0
0.243,1.05,0,0.004,0.917,0
0.42,1.05,0,0.236,0.79,0
0.231,1.05,0,0.095,0.375,0
0.478,1.05,0,0.017,0.694,0
0.445,1.05,0,0.051,0.293,0
0.438,1.05,0,0.033,0.363,0
0.432,1.05,0,0.084,0.462,0
0.339,1.05,0,0.003,0.43,0
0.475,1.05,0,0.043,0.419,0
0.379,1.05,0,0.045,0.763,0
0.586,1.05,0,0.018,0.284,0
0.343,1.05,0,0.013,0.696,0
0.505,1.05,0,0.072,0.871,0
0.228,1.05,0,0.004,0.7200000000000001,0
0.394,1.05,0,0.105,0.375,0
0.46,1.05,0,0.018,0.754,0
0.497,1.05,0,0.067,0.93,0
0.455,1.05,0,0.09,0.8310000000000001,0
0.511,1.05,0,0.085,0.847,0
0.304,1.05,0,0.066,0.865,0
0.33,1.05,0,0.045,0.737,0
0.455,1.05,0,0.228,0.2759999999999999,0
0.334,1.05,0,0.102,0.3289999999999999,0
0.536,1.05,0,0.056,0.289,0
0.284,1.05,0,0.111,0.887,0
0.191,1.05,0,0.041,0.317,0
0.52,1.05,0,0.034,0.637,0
0.319,1.05,0,0.049,0.775,0
0.423,1.05,0,0.136,0.342,0
0.378,1.05,0,0.034,0.291,0
0.347,1.05,0,0.003,0.402,0
0.498,1.05,0,0.194,0.652,0
0.457,1.05,0,0.022,0.8140000000000001,0
0.427,1.05,0,0.127,0.306,0
0.45,1.05,0,0.09,0.964,0
0.303,1.05,0,0.004,0.816,0
0.254,1.05,0,0.032,0.7380000000000001,0
0.27,129.5675,0,0.137,0.37,0
0.203,129.7375,0,0.013,0.4979999999999999,0
0.281,129.7825,0,0.04,0.425,0
0.236,129.73250000000002,0,0.013,0.447,0
0.255,129.61249999999998,0,0.002,0.251,0
0.441,129.81,0,0.032,0.549,0
0.307,129.6925,0,0.048,0.472,0
0.161,129.7775,0,0.002,0.362,0
0.276,128.3675,0,0.066,0.425,0
0.228,129.765,0,0.06,0.303,0
0.275,129.335,0,0.131,0.2799999999999999,0
0.342,129.8,0,0.019,0.316,0
0.191,129.815,0,0.044,0.432,0
0.299,129.8225,0,0.065,0.386,0
0.428,129.7875,0,0.169,0.941,0
0.316,129.64,0,0.105,0.907,0
0.412,129.7725,0,0.001,0.575,0
0.476,129.76749999999998,0,0.008,0.318,0
0.332,129.475,0,0.0,0.3339999999999999,0
0.469,129.755,0,0.147,0.7879999999999999,0
0.228,129.6625,0,0.11,0.491,0
